State,Value
The United States,76330
Alabama,61390
Alaska,87490
Arizona,76370
Arkansas,54760
California,87960
Colorado,91610
Connecticut,87300
Delaware,74070
District of Columbia,97740
Florida,64410
Georgia,66310
Hawaii,88630
Idaho,82940
Illinois,85460
Indiana,75690
Iowa,78100
Kansas,81930
Kentucky,59980
Louisiana,61690
Maine,76710
Maryland,105000
Massachusetts,93340
Michigan,69540
Minnesota,86740
Mississippi,50290
Missouri,68570
Montana,70090
Nebraska,84220
Nevada,69380
New Hampshire,95800
New Jersey,95490
New Mexico,57650
New York,78630
North Carolina,67820
North Dakota,74280
Ohio,67600
Oklahoma,64800
Oregon,88260
Pennsylvania,78310
Rhode Island,80850
South Carolina,67440
South Dakota,79680
Tennessee,67030
Texas,72680
Utah,94510
Vermont,82040
Virginia,86550
Washington,94510
West Virginia,50500
Wisconsin,75420
Wyoming,76620
